poisct,itnum,obj_diff,obj_val,val_mse,test_mse,time
17,0,0.057712660335944015,0.057712660335944015,0.00803508597643486,0.010163570402931518,0.02659
17,1,0.06121145784138526,-0.0034987975054412424,0.00825135578028089,0.010518728171063873,1.264354
17,2,0.0659644966620547,-0.004753038820669443,0.008556873186369525,0.010979696721770548,2.518646
17,3,0.072138131025238,-0.0061736343631833,0.008955777711584144,0.011548187716794991,3.527779
17,4,0.07969370377337913,-0.007555572748141129,0.009433581016115453,0.012202686195907196,4.60922
17,5,0.08831243554657821,-0.008618731773199079,0.009952739802067845,0.012893629640557987,5.726636
17,6,0.09738430294260855,-0.009071867396030345,0.010454577834445106,0.013546959548305515,6.835771
17,7,0.10606079432865027,-0.008676491386041721,0.01086891650831169,0.014081296056425717,7.867584
17,8,0.11349989034604628,-0.0074390960173960075,0.011142503222375423,0.01446899002403917,8.858488
17,9,0.11988057293467595,-0.006380682588629671,0.011296475613687235,0.014720298838916138,9.871929
17,10,0.12501655808597442,-0.0051359851512984694,0.011332674707817817,0.014833057331551653,10.775063
17,11,0.1286880298989022,-0.00367147181292779,0.011281651600414121,0.014828869310293459,11.6588
17,12,0.13028358318165537,-0.0015955532827531538,0.01123830442097783,0.014800982563731661,12.605442
17,13,0.13076807952053515,-0.00048449633887978627,0.011242190427985918,0.01480322262309842,13.42822
17,14,0.13076807952053515,0.0,0.011242190427985918,0.01480322262309842,14.162619
17,15,0.13076807952053515,0.0,0.011242190427985918,0.01480322262309842,14.904022
17,-1,None,None,0.011242190427985918,0.01480322262309842,14.915541
35,0,0.07879267981467995,0.07879267981467995,0.01726423580842085,0.01841741449358251,0.020977
35,1,0.0837230445766557,-0.004930364761975753,0.017685601630939855,0.01916039376690274,2.105294
35,2,0.09096343059166674,-0.0072403860150110355,0.018292690613883902,0.020144231004880876,4.068139
35,3,0.10107425937464365,-0.010110828782976908,0.01909800817214409,0.021371305054816506,6.082464
35,4,0.11404366913779594,-0.012969409763152293,0.020042756940133688,0.022749450324775954,8.115309
35,5,0.1285467891842953,-0.014503120046499354,0.020956066810322586,0.024051710800821278,10.062459
35,6,0.1420927039662014,-0.013545914781906115,0.021589685624274456,0.025027366158496735,12.097768
35,7,0.1533895074965618,-0.011296803530360389,0.021816641630108345,0.025572106534898515,13.904599
35,8,0.16175291058490082,-0.008363403088339022,0.02171385831996891,0.025735189910843635,15.772959
35,9,0.16760796597343897,-0.005855055388538144,0.021535216865063354,0.025719868207247046,17.460864
35,10,0.1702685092027226,-0.002660543229283635,0.021431719945500166,0.02565938214632911,19.199092
35,11,0.17097254390071115,-0.0007040346979885481,0.021443445805514858,0.02566060047571648,20.690596
35,12,0.17097254390071115,0.0,0.021443445805514858,0.02566060047571648,22.325723
35,13,0.17097254390071115,0.0,0.021443445805514858,0.02566060047571648,23.799304
35,14,0.17097254390071115,0.0,0.021443445805514858,0.02566060047571648,25.393447
35,15,0.17097254390071115,0.0,0.021443445805514858,0.02566060047571648,26.895356
35,-1,None,None,0.021443445805514858,0.02566060047571648,26.906995
55,0,0.09492897554671983,0.09492897554671983,0.02211750026642032,0.025596491900038734,0.019927
55,1,0.10082680803490465,-0.005897832488184818,0.022617711494540373,0.02641675914384478,3.181012
55,2,0.11326630595167957,-0.012439497916774914,0.02318025628282572,0.02741184891686463,6.31811
55,3,0.13705304713737124,-0.02378674118569167,0.023684625171457134,0.028397010185673425,9.57796
55,4,0.17039204558710005,-0.03333899844972882,0.02390551795332334,0.028913481780832126,12.800452
55,5,0.20139211856647166,-0.0310000729793716,0.023578584738628706,0.028506499091177036,16.46452
55,6,0.22354675107573557,-0.022154632509263916,0.022822230336618583,0.027653501045330237,19.79179
55,7,0.23586784047444206,-0.012321089398706492,0.02211608556054219,0.02687507787529012,22.990664
55,8,0.24067225480398965,-0.0048044143295475905,0.02182133232937917,0.02650745834911896,26.025007
55,9,0.24121685693446268,-0.0005446021304730264,0.021776311755992702,0.026537485826037023,28.661826
55,10,0.24121685693446268,0.0,0.021776311755992702,0.026537485826037023,31.374208
55,11,0.24121685693446268,0.0,0.021776311755992702,0.026537485826037023,33.960606
55,12,0.24121685693446268,0.0,0.021776311755992702,0.026537485826037023,36.568939
55,13,0.24121685693446268,0.0,0.021776311755992702,0.026537485826037023,39.002982
55,14,0.24121685693446268,0.0,0.021776311755992702,0.026537485826037023,41.464471
55,15,0.24121685693446268,0.0,0.021776311755992702,0.026537485826037023,43.927459
55,-1,None,None,0.021776311755992702,0.026537485826037023,43.945458
76,0,0.11361860787503213,0.11361860787503213,0.032857343892796785,0.039745401693501374,0.01593
76,1,0.11911303748815953,-0.005494429613127405,0.03347332505933833,0.04096227117322594,4.256251
76,2,0.13299455756904177,-0.01388152008088224,0.03405503634142564,0.042392597388258346,9.287113
76,3,0.16439455972644434,-0.03140000215740257,0.034289208230526044,0.04356094193854095,13.664208
76,4,0.20976964806524626,-0.04537508833880191,0.03372284062046857,0.04345259176274283,18.300465
76,5,0.2505218415651206,-0.04075219349987433,0.03225090586660778,0.041744446668594566,22.352934
76,6,0.2742680511367397,-0.023746209571619104,0.030795338819673654,0.03984883630369833,26.595384
76,7,0.2832347117761346,-0.008966660639394886,0.030087624597261296,0.03884716550195064,30.246014
76,8,0.28540669393538737,-0.0021719821592527944,0.029906972044157914,0.03855353483420905,33.677048
76,9,0.2861746318186373,-0.000767937883249914,0.029823668001863566,0.0384036760708044,36.974777
76,10,0.2863741602058629,-0.0001995283872256448,0.02984907190298748,0.03836319424937162,40.286423
76,11,0.2863741602058629,0.0,0.02984907190298748,0.03836319424937162,43.557803
76,12,0.2863741602058629,0.0,0.02984907190298748,0.03836319424937162,46.911333
76,13,0.2863741602058629,0.0,0.02984907190298748,0.03836319424937162,50.201216
76,14,0.2863741602058629,0.0,0.02984907190298748,0.03836319424937162,53.508238
76,15,0.2863741602058629,0.0,0.02984907190298748,0.03836319424937162,56.822008
76,-1,None,None,0.02984907190298748,0.03836319424937162,56.847593
100,0,0.12935825058735975,0.12935825058735975,0.040258039513015875,0.04763432300283898,0.019052
100,1,0.1366791072726148,-0.007320856685255062,0.04130790514247946,0.050311316530339524,5.398122
100,2,0.15549884649011114,-0.01881973921749633,0.0423395955137847,0.05370951565895001,10.647462
100,3,0.19301025069965136,-0.03751140420954022,0.04307244613473359,0.05678250238571048,16.044437
100,4,0.24105740242831622,-0.04804715172866486,0.04287249948331604,0.05768700999619361,21.341854
100,5,0.275662087960275,-0.034604685531958806,0.04170392596325704,0.056291830392492616,26.51229
100,6,0.29182562106514665,-0.01616353310487162,0.04062817432964487,0.05425292334826899,31.346362
100,7,0.2971530001459127,-0.0053273790807660815,0.04010064208397693,0.0533461598515105,36.232911
100,8,0.29852261382312045,-0.001369613677207726,0.040064055859598546,0.05322934487860676,40.651945
100,9,0.2988850248415975,-0.00036241101847706014,0.04010755204758221,0.05325293772991268,44.989368
100,10,0.2988850248415975,0.0,0.04010755204758221,0.05325293772991268,49.272157
100,11,0.2988850248415975,0.0,0.04010755204758221,0.05325293772991268,53.675997
