poisct,itnum,obj_diff,obj_val,val_mse,test_mse,time
17,0,0.015416163435087608,0.015416163435087608,0.015416163435087608,0.015269556590902284,0.050045
17,1,0.015747564850938214,-0.00033140141585060595,0.015747564850938218,0.01537254898345745,1.307535
17,2,0.01605563037116636,-0.000308065520228145,0.01605563037116637,0.015449801040904931,2.31198
17,3,0.01633755586591555,-0.00028192549474919185,0.01633755586591554,0.015511546757365323,3.251687
17,4,0.01660713077305274,-0.0002695749071371899,0.016607130773052745,0.015562454747606487,4.462042
17,5,0.016866278765536508,-0.00025914799248376655,0.01686627876553651,0.01560502810500982,5.445502
17,6,0.01711658473877433,-0.00025030597323782294,0.017116584738774338,0.015641163053126548,6.43141
17,7,0.017359184920270814,-0.00024260018149648357,0.017359184920270818,0.015672235663997336,7.476468
17,8,0.017594870418154794,-0.00023568549788397994,0.017594870418154794,0.015699414886236444,8.551943
17,9,0.01782365322598506,-0.00022878280783026478,0.017823653225985055,0.015722712413792413,9.483945
17,10,0.018046395200418133,-0.00022274197443307442,0.01804639520041814,0.01574377907596859,10.378955
17,11,0.018263509292152483,-0.00021711409173435017,0.018263509292152487,0.01576310017261438,11.437644
17,12,0.01847538201658284,-0.00021187272443035782,0.01847538201658283,0.015781355057190093,12.362153
17,13,0.018682030391353736,-0.00020664837477089512,0.018682030391353733,0.015798470453523145,13.280667
17,14,0.01888360385492761,-0.00020157346357387376,0.018883603854927596,0.015814869561773016,14.241789
17,15,0.019080322228208588,-0.00019671837328097755,0.019080322228208563,0.015830919197755623,15.232631
17,-1,None,None,0.019080322228208563,0.015830919197755623,15.24277
35,0,0.0314025746751813,0.0314025746751813,0.031402574675181316,0.0249256797821405,0.019483
35,1,0.03237060143192213,-0.0009680267567408266,0.032370601431922094,0.02495242932509959,1.85558
35,2,0.033198901093039454,-0.0008282996611173252,0.03319890109303948,0.02500857440808602,3.876139
35,3,0.033870520013216214,-0.00067161892017676,0.033870520013216214,0.02504295998013952,5.730369
35,4,0.03442923596424368,-0.0005587159510274664,0.03442923596424368,0.025063845065038604,7.689583
35,5,0.03491575370801081,-0.00048651774376713003,0.03491575370801083,0.025081871042330155,9.623446
35,6,0.03534757338922956,-0.00043181968121874803,0.03534757338922953,0.025097028300345405,11.483289
35,7,0.035735952021752865,-0.0003883786325233063,0.03573595202175286,0.025111877956258764,13.466749
35,8,0.036088344231919256,-0.0003523922101663912,0.03608834423191923,0.025127487651095907,15.271731
35,9,0.03641020155222949,-0.0003218573203102315,0.03641020155222948,0.025145005833514693,17.2522
35,10,0.03670585058826883,-0.0002956490360393402,0.036705850588268835,0.025165520977940753,19.073059
35,11,0.036977981435862436,-0.0002721308475936088,0.0369779814358625,0.02518792607897686,21.040222
35,12,0.037229712808863454,-0.00025173137300101706,0.03722971280886344,0.025212906680198585,22.900137
35,13,0.03746334783893221,-0.0002336350300687559,0.03746334783893221,0.025240167753717898,24.790721
35,14,0.03770620796681547,-0.000242860127883264,0.03770620796681549,0.02527633217219916,26.689113
35,15,0.03793470723096517,-0.00022849926414969524,0.03793470723096516,0.025312602324709676,28.568353
35,-1,None,None,0.03793470723096516,0.025312602324709676,28.58133
55,0,0.0476691237220523,0.0476691237220523,0.04766912372205231,0.040640941163295946,0.023123
55,1,0.049397288251031464,-0.0017281645289791633,0.04939728825103153,0.040308803971364264,3.057388
55,2,0.05113875875208024,-0.0017414705010487738,0.05113875875208027,0.040259054422484376,6.015858
55,3,0.05265743552854943,-0.001518676776469191,0.052657435528549366,0.0402871222655832,8.924993
55,4,0.05396746082380601,-0.0013100252952565825,0.05396746082380607,0.04033623834114658,11.760118
55,5,0.05512309128468381,-0.001155630460877799,0.0551230912846838,0.04039641266879234,14.649643
55,6,0.05617835435064469,-0.0010552630659608764,0.05617835435064475,0.0404659083753635,17.546916
55,7,0.05715482222493299,-0.0009764678742883032,0.05715482222493302,0.04054479098387349,20.449958
55,8,0.05807422676620577,-0.0009194045412727822,0.05807422676620578,0.04063620661256897,23.328982
55,9,0.05894113162901879,-0.0008669048628130172,0.05894113162901881,0.04073567892228118,26.208674
55,10,0.05976225202839637,-0.0008211203993775812,0.05976225202839635,0.040839706817289295,29.030471
55,11,0.06054431325277526,-0.000782061224378891,0.06054431325277521,0.040949026142109164,31.888437
55,12,0.06128122102127841,-0.0007369077685031519,0.06128122102127846,0.041060326331268014,34.811856
55,13,0.06198394711418282,-0.0007027260929044071,0.06198394711418284,0.041178021540210316,37.79018
55,14,0.062671085431594,-0.0006871383174111775,0.06267108543159398,0.04130379853930201,40.726829
55,15,0.06332941279656029,-0.0006583273649662935,0.0633294127965603,0.04143365456345067,43.624243
55,-1,None,None,0.0633294127965603,0.04143365456345067,43.643034
76,0,0.06151348017756487,0.06151348017756487,0.06151348017756487,0.04919436135294617,0.040127
76,1,0.06200764316587413,-0.0004941629883092602,0.06200764316587412,0.0492665114673698,4.037021
76,2,0.0626134297282891,-0.0006057865624149658,0.06261342972828911,0.04937595177283298,8.117152
