poisct,itnum,obj_diff,obj_val,val_mse,test_mse,time
17,0,0.0046274651968709404,0.0046274651968709404,0.007193598838061123,0.006456225316606607,0.01796
17,1,0.004624606252167511,2.858944703429747e-06,0.007206290792793857,0.00649197091546305,0.761729
17,2,0.0046250488256618354,2.4163712091049977e-06,0.007202831291993893,0.006482701562297865,1.608742
17,3,0.004625480885620176,1.9843112507647587e-06,0.007199884961999634,0.006475023616445525,2.37955
17,4,0.004625832817610053,1.6323792608871276e-06,0.007198011569192878,0.006469813889684459,3.076141
17,5,0.004626126522607566,1.3386742633743343e-06,0.0071966286184688465,0.0064658780514777695,3.856037
17,6,0.004626311940902942,1.153255967998798e-06,0.007195838285944055,0.006463619657053629,4.753694
17,7,0.004626332557674693,1.13263919624719e-06,0.007195848021117628,0.006463590008336117,5.583357
17,8,0.004626513749085522,9.514477854180234e-07,0.0071951110649670835,0.006461396787147136,6.281486
17,9,0.004626742745072961,7.224517979791123e-07,0.007194644603620809,0.006459988450511921,7.013365
17,10,0.004626882092270526,5.831046004144483e-07,0.0071944264647773315,0.006459313357036095,7.765823
17,11,0.004627025517819826,4.396790511144652e-07,0.007194160889636575,0.006458461251367511,8.58958
17,12,0.0046271107383653465,3.5445850559388814e-07,0.007194089533195399,0.006458104708935276,9.374625
17,13,0.004627205509155127,2.596877158138333e-07,0.007193935090220534,0.006457577135268911,10.058503
17,14,0.004627217217425722,2.4797944521860044e-07,0.00719388804781814,0.006457413015956908,10.710907
17,15,0.004627245433421632,2.1976344930819958e-07,0.007193847876814748,0.006457274816960828,11.37637
17,-1,None,None,0.007193598838061123,0.006456225316606607,11.386981
35,0,0.007760306909395052,0.007760306909395052,0.009909679627125297,0.008366380704536568,0.038651
35,1,0.007760406064845265,-9.915545021253053e-08,0.009911991393924893,0.008366456557330076,1.615346
35,2,0.007760509410437856,-1.03345592591432e-07,0.009914314839801628,0.008366558815575499,2.932737
35,3,0.007760617012273171,-1.0760183531514922e-07,0.009916665604195097,0.008366690746600614,4.327673
35,4,0.007760728945116434,-1.1193284326239256e-07,0.009919034808354033,0.00836686699672647,5.73676
35,5,0.007760844967711148,-1.1602259471395204e-07,0.009921417056469322,0.008367077893260143,7.160427
35,6,0.0077609653455505065,-1.203778393589136e-07,0.009923826333953929,0.008367323977393096,8.649481
