poisct,itnum,obj_diff,obj_val,val_mse,test_mse,time
17,0,0.07143785045945249,0.07143785045945249,0.015416163435087608,0.015269556590902284,0.08558
17,1,0.07367206231754411,-0.0022342118580916254,0.015437510470379239,0.015335894738918963,1.394187
17,2,0.07738977232270522,-0.0037177100051611067,0.015443118183150922,0.015382095809315356,2.419829
17,3,0.0835429474079077,-0.006153175085202481,0.015436317793907101,0.015398676724529055,3.582293
17,4,0.09304179596865618,-0.00949884856074848,0.015423785977069414,0.01537145991141078,4.586702
17,5,0.10596661835205931,-0.012924822383403131,0.01540864806039577,0.01528252999328132,5.576744
17,6,0.12096607106519268,-0.014999452713133368,0.015382531509248239,0.015123340439955146,6.583945
17,7,0.13552079296333047,-0.014554721898137793,0.015350302792540125,0.014917571717148321,7.64012
17,8,0.14778509366567727,-0.012264300702346798,0.015297083616615265,0.014682150706557075,8.566475
17,9,0.15550214847308783,-0.007717054807410556,0.015250752870053395,0.01448063836119171,9.446393
17,10,0.16087174396500167,-0.005369595491913848,0.01521886007614983,0.014315632980198384,10.393193
17,11,0.1642344446681238,-0.00336270070312214,0.01523836336761661,0.01421433804606317,11.239229
17,12,0.16694859755801245,-0.0027141528898886325,0.015226478924992572,0.014094380085109668,12.042498
17,13,0.16873737694924185,-0.0017887793912294003,0.01523854600235324,0.014023615639912581,12.842324
17,14,0.17008110751075534,-0.0013437305615134898,0.015241533146744299,0.013952002806450734,13.724449
17,15,0.17057195767109964,-0.0004908501603443083,0.015241856276867865,0.013920937794572907,14.559054
17,-1,None,None,0.015241856276867865,0.013920937794572907,14.570866
35,0,0.09803560727396779,0.09803560727396779,0.031402574675181316,0.0249256797821405,0.02158
35,1,0.10346689775393518,-0.0054312904799673906,0.03135015180301239,0.025257141246344917,2.044124
35,2,0.11385616541223198,-0.0103892676582968,0.0314258730235424,0.025835653328563524,4.182796
35,3,0.1317306094069329,-0.017874443994700923,0.031834218662051286,0.02682324731160429,6.254757
35,4,0.15651750301475664,-0.02478689360782374,0.0326944065704255,0.028251149853538847,8.258769
35,5,0.18407205378579708,-0.027554550771040437,0.03383215206317034,0.029856653193458184,10.348656
35,6,0.20783558462409424,-0.02376353083829716,0.0347606073869706,0.031142531983240237,12.23262
35,7,0.2239135256076577,-0.016077940983563466,0.03543617078012951,0.03187836543674038,14.142651
35,8,0.23500143736944004,-0.011087911761782338,0.03576396399666002,0.03220957858174333,15.896077
35,9,0.24130361311872237,-0.006302175749282324,0.03574611409207988,0.03221542274471124,17.697832
35,10,0.24339532677993697,-0.002091713661214606,0.035751081543479696,0.03220282256038557,19.30077
35,11,0.244088909377017,-0.0006935825970800225,0.035717285995581875,0.03214544146709469,20.933555
35,12,0.24431050784739536,-0.00022159847037836466,0.03572583842745096,0.03212954758949405,22.473513
35,13,0.24431050784739536,0.0,0.03572583842745096,0.03212954758949405,24.641462
35,14,0.24431050784739536,0.0,0.03572583842745096,0.03212954758949405,26.202403
35,15,0.24431050784739536,0.0,0.03572583842745096,0.03212954758949405,27.80006
35,-1,None,None,0.03572583842745096,0.03212954758949405,27.812203
55,0,0.13684206534616825,0.13684206534616825,0.04766912372205231,0.040640941163295946,0.022261
55,1,0.15016988565980582,-0.013327820313637578,0.04778094701911857,0.04175098805342237,3.25533
55,2,0.17270756149512775,-0.02253767583532193,0.04882970301320544,0.04372786118922293,6.461583
55,3,0.20210208048585054,-0.02939451899072279,0.051206473892002544,0.046610052109140446,9.704692
55,4,0.23086002878962295,-0.0287579483037724,0.05435886571565659,0.04992153358875655,12.796915
55,5,0.25432701365901206,-0.023466984869389113,0.057451287985293475,0.05282766370159913,15.7036
55,6,0.27126225220580147,-0.01693523854678941,0.05975084675277997,0.05474133112754398,18.546473
55,7,0.2804608387301436,-0.009198586524342134,0.06085197275527467,0.05565322623039354,21.329942
55,8,0.28404665505763654,-0.003585816327492941,0.06110053972537952,0.055801462655040164,23.935523
55,9,0.285795088102431,-0.0017484330447944396,0.061134986063700936,0.05583072411225742,26.442433
55,10,0.2867996086259153,-0.0010045205234843202,0.0610945619285303,0.05581285791979411,28.820839
55,11,0.2867996086259153,0.0,0.0610945619285303,0.05581285791979411,31.287122
55,12,0.2867996086259153,0.0,0.0610945619285303,0.05581285791979411,33.751243
55,13,0.2867996086259153,0.0,0.0610945619285303,0.05581285791979411,36.144476
55,14,0.2867996086259153,0.0,0.0610945619285303,0.05581285791979411,38.621113
55,15,0.2867996086259153,0.0,0.0610945619285303,0.05581285791979411,41.152483
55,-1,None,None,0.0610945619285303,0.05581285791979411,41.168533
76,0,0.15352375454156103,0.15352375454156103,0.06151348017756487,0.04919436135294617,0.03499
76,1,0.1759761264357664,-0.022452371894205375,0.0645495784506021,0.050963190529073776,4.427992
76,2,0.21548537781220017,-0.03950925137643377,0.07063380471933539,0.054935010573768414,8.865359
76,3,0.26406914729803466,-0.04858376948583448,0.07958153175768409,0.06097766800605465,13.199914
76,4,0.3081384177743821,-0.044069270476347455,0.08869704953977227,0.06730161981022847,17.359514
76,5,0.33751535007634353,-0.029376932301961423,0.09459583168965482,0.07141009450969903,21.381666
76,6,0.34978919292495037,-0.01227384284860683,0.0961250446772432,0.07212712487023125,25.065002
76,7,0.35503953412258665,-0.005250341197636288,0.09619386754999294,0.07198614732732239,28.630913
76,8,0.35657979911449034,-0.0015402649919036837,0.09604009419879399,0.07180734570958217,32.061271
76,9,0.35663384679646976,-5.4047681979418893e-05,0.09603730793497503,0.07179143839577898,35.43044
76,10,0.35663384679646976,0.0,0.09603730793497503,0.07179143839577898,38.786042
