poisct,itnum,obj_diff,obj_val,val_mse,test_mse,time
17,0,0.004635923287808694,0.004635923287808694,0.0072436592172667735,0.0064202788154131855,0.054332
17,1,0.004658319086002721,-2.2395798194027074e-05,0.00730374129711802,0.006419690686705662,0.768596
17,2,0.004676309448369465,-1.7990362366744096e-05,0.007344284255951243,0.0064308386846456235,1.451232
17,3,0.004693196916688501,-1.688746831903648e-05,0.00737970649976709,0.006429485493727578,2.202861
17,4,0.004709648687532751,-1.6451770844249335e-05,0.0074160627309341155,0.00643265961263914,3.026887
17,5,0.004725864859455852,-1.6216171923101076e-05,0.007448628227670172,0.006437146455929651,3.887504
17,6,0.004741332994830977,-1.5468135375125425e-05,0.007481284157537711,0.006442416355299256,4.597751
17,7,0.004755374577988179,-1.4041583157201575e-05,0.00751379165274998,0.0064452828213567605,5.34633
17,8,0.004769172770422322,-1.3798192434143035e-05,0.007540127541784518,0.0064467446959726215,6.194896
17,9,0.0047831574875614015,-1.3984717139079762e-05,0.007562820177952293,0.006448994879450925,6.959425
17,10,0.004797015258143478,-1.3857770582076379e-05,0.007583547792391159,0.006452986575030175,7.633278
17,11,0.004810622177754227,-1.360691961074887e-05,0.00760296620290651,0.006459242643400279,8.336181
17,12,0.004824169986428902,-1.3547808674675005e-05,0.007621016015984497,0.006466786693634593,9.070365
17,13,0.004837483188566932,-1.3313202138030313e-05,0.007636827961628098,0.006473641264467814,9.859142
17,14,0.004850590701545941,-1.3107512979009146e-05,0.007650709771804713,0.006479939945181168,10.563236
17,15,0.004863654670620151,-1.3063969074209557e-05,0.007663679822271468,0.006487221547717203,11.297802
17,-1,None,None,0.007663679822271468,0.006487221547717203,11.332933
35,0,0.0077641197748359566,0.0077641197748359566,0.009958384824308433,0.008307684094338089,0.066008
35,1,0.007794443953945334,-3.032417910937748e-05,0.010060231203654764,0.00827825797601313,1.536216
35,2,0.007816088136655268,-2.164418270993347e-05,0.010133125041631455,0.008260329128575985,2.899266
35,3,0.007837241471295416,-2.1153334640148375e-05,0.010178330469136385,0.008250196202270361,4.151818
35,4,0.007858241992060724,-2.1000520765307798e-05,0.010215997836651572,0.008241990623002272,5.553542
35,5,0.00788016456153652,-2.1922569475796988e-05,0.010245208118385227,0.008244047857749485,6.848954
35,6,0.00790224617265259,-2.208161111606939e-05,0.01027641252327929,0.008253684498404931,8.097814
