poisct,itnum,obj_diff,obj_val,val_mse,test_mse,time
17,0,0.008035085976434861,0.008035085976434861,0.00803508597643486,0.010163570402931518,0.02277
17,1,0.008031763429532714,3.3225469021468806e-06,0.00803176342953271,0.010048248360703622,1.07378
17,2,0.008029286014763812,5.799961671049125e-06,0.008029286014763812,0.010073408681507407,2.053575
17,3,0.008028885521401116,6.200455033744667e-06,0.008028885521401116,0.010093900391921339,2.985796
17,4,0.008029399570290896,5.68640614396522e-06,0.008029399570290897,0.010110172474316791,3.91939
17,5,0.008030240512568546,4.845463866315e-06,0.008030240512568544,0.010122881372673802,4.822987
17,6,0.008031126075994661,3.959900440199393e-06,0.008031126075994661,0.010132694621126617,5.728362
17,7,0.008031933129874982,3.152846559878811e-06,0.00803193312987498,0.010140212209102363,6.608515
17,8,0.00803261859249516,2.4673839397002656e-06,0.00803261859249516,0.010145938407715669,7.482891
17,9,0.008033177709063947,1.9082673709137216e-06,0.008033177709063938,0.01015028274152886,8.402313
17,10,0.008033621194882658,1.4647815522027957e-06,0.00803362119488265,0.010153567457037962,9.284253
17,11,0.008033968766211519,1.117210223342338e-06,0.008033968766211524,0.010156048129403137,10.168453
17,12,0.008034238115566757,8.478608681042332e-07,0.008034238115566757,0.010157918257701072,11.118394
17,13,0.008034444305486419,6.416709484417804e-07,0.008034444305486424,0.010159325615183939,12.05501
17,14,0.008034601742677118,4.842337577425776e-07,0.008034601742677115,0.010160383913220463,12.981349
17,15,0.008034721432810553,3.6454362430798914e-07,0.008034721432810553,0.010161180187072264,13.852023
17,-1,None,None,0.00803508597643486,0.010163570402931518,13.863618
35,0,0.01726423580842086,0.01726423580842086,0.01726423580842085,0.01841741449358251,0.025056
35,1,0.017264726949502065,-4.91141081204044e-07,0.01726472694950207,0.018414154929309378,1.703962
35,2,0.017265235063212404,-5.081137103395139e-07,0.017265235063212397,0.018410919645365988,3.356242
35,3,0.017265760082530893,-5.250193184890006e-07,0.017265760082530904,0.018407708553209057,4.969061
35,4,0.01726630194037628,-5.418578453882106e-07,0.017266301940376264,0.018404521564187922,6.584913
35,5,0.017266860569607457,-5.58629231175306e-07,0.017266860569607457,0.018401358589551206,8.272374
35,6,0.01726743590303388,-5.753334264245458e-07,0.017267435903033864,0.01839821954045675,9.908403
35,7,0.017268027873417646,-5.91970383764101e-07,0.017268027873417656,0.018395104327975073,11.640022
35,8,0.017268636413476538,-6.085400588926038e-07,0.01726863641347655,0.01839201286309821,13.309789
35,9,0.01726926145589081,-6.250424142706379e-07,0.017269261455890823,0.01838894505674556,14.945551
35,10,0.01726990293330861,-6.414774178023497e-07,0.01726990293330863,0.018385900819771765,16.616774
35,11,0.017270560778348553,-6.578450399419289e-07,0.017270560778348546,0.018382880062972826,18.272334
35,12,0.017271234923604602,-6.741452560493633e-07,0.017271234923604602,0.018379882697091517,19.864608
35,13,0.01727192530165065,-6.903780460469633e-07,0.017271925301650653,0.018376908632825616,21.436118
35,14,0.01727263184504556,-7.065433949120237e-07,0.01727263184504556,0.01837395778083386,23.025327
35,15,0.017273354486336764,-7.226412912023084e-07,0.017273354486336746,0.018371030051740015,24.615557
35,-1,None,None,0.017273354486336746,0.018371030051740015,24.628461
55,0,0.02211750026642033,0.02211750026642033,0.02211750026642032,0.025596491900038734,0.020452
55,1,0.02211940028631947,-1.900019899140487e-06,0.022119400286319472,0.02559472740238379,2.497757
55,2,0.02212128889905285,-1.8886127333798963e-06,0.022121288899052845,0.025592973381645484,4.955317
55,3,0.022123166298505588,-1.8773994527390703e-06,0.022123166298505588,0.02559122987407996,7.400982
55,4,0.022125029651819318,-1.8633533137302205e-06,0.02212502965181933,0.025589496495954035,9.874923
55,5,0.022126882180438786,-1.852528619467747e-06,0.0221268821804388,0.025587773677807447,12.330643
55,6,0.0221287240729624,-1.841892523612998e-06,0.02212872407296239,0.02558606145041245,14.782992
55,7,0.022130555516341334,-1.8314433789350104e-06,0.022130555516341358,0.025584359842844857,17.244343
55,8,0.022132376695875332,-1.821179533997852e-06,0.022132376695875314,0.02558266888251808,19.687754
55,9,0.022134187795213974,-1.8110993386423468e-06,0.022134187795214002,0.025580988595217777,22.158737
55,10,0.022135988996353356,-1.8012011393821192e-06,0.022135988996353384,0.02557931900513004,24.605375
55,11,0.022137780479634724,-1.791483281367301e-06,0.022137780479634713,0.025577660134876726,27.071205
55,12,0.022139562423748003,-1.7819441132799207e-06,0.022139562423747976,0.025576012005545296,29.523783
55,13,0.02214133500572833,-1.7725819803256215e-06,0.022141335005728333,0.025574374636720517,31.947992
55,14,0.02214309840095852,-1.7633952301907008e-06,0.022143098400958534,0.025572748046514576,34.403329
55,15,0.02214485278316839,-1.754382209871036e-06,0.02214485278316839,0.02557113225159573,36.853063
55,-1,None,None,0.02214485278316839,0.02557113225159573,36.868249
76,0,0.03285734389279679,0.03285734389279679,0.032857343892796785,0.039745401693501374,0.01918
76,1,0.032857555227704054,-2.1133490726160664e-07,0.03285755522770407,0.039738488211196056,3.398762
76,2,0.032857738537981455,-1.8331027740181582e-07,0.032857738537981455,0.039731602289529155,6.790184
76,3,0.032857894498118975,-1.5596013751978388e-07,0.03285789449811898,0.039724744093144124,10.182621
76,4,0.0328580237714318,-1.29273312825251e-07,0.032858023771431794,0.03971791377697465,13.557228
